TimestampUTC,kw-energex,pv+battery
2016-02-01 00:00:00+10:00,1582.283935546875,7.349318027496338
2016-02-01 00:15:00+10:00,1460.705078125,7.333039283752441
2016-02-01 00:30:00+10:00,1558.96484375,7.2422332763671875
2016-02-01 00:45:00+10:00,1587.0946044921875,7.188448905944824
2016-02-01 01:00:00+10:00,1600.6361083984375,7.211526870727539
2016-02-01 01:15:00+10:00,1546.58154296875,7.266167163848877
2016-02-01 01:30:00+10:00,1572.2808837890625,7.241777420043945
2016-02-01 01:45:00+10:00,1563.157470703125,7.237419605255127
2016-02-01 02:00:00+10:00,1527.37158203125,7.227932453155518
2016-02-01 02:15:00+10:00,1540.4190673828125,7.182072162628174
2016-02-01 02:30:00+10:00,1526.8067626953125,7.198429584503174
2016-02-01 02:45:00+10:00,1556.901123046875,7.190186977386475
2016-02-01 03:00:00+10:00,1519.3369140625,7.191922187805176
2016-02-01 03:15:00+10:00,1494.910400390625,7.188673496246338
2016-02-01 03:30:00+10:00,1543.379150390625,7.134436130523682
2016-02-01 03:45:00+10:00,1519.261962890625,7.146430015563965
2016-02-01 04:00:00+10:00,1520.4046630859375,7.163272380828857
2016-02-01 04:15:00+10:00,1520.67431640625,7.176784515380859
2016-02-01 04:30:00+10:00,1541.60498046875,7.173618316650391
2016-02-01 04:45:00+10:00,1515.9781494140625,7.212462902069092
2016-02-01 05:00:00+10:00,1546.110107421875,7.1947221755981445
2016-02-01 05:15:00+10:00,1620.693603515625,7.198297500610352
2016-02-01 05:30:00+10:00,1656.0042724609375,7.287247180938721
2016-02-01 05:45:00+10:00,1644.954833984375,7.309082984924316
2016-02-01 06:00:00+10:00,1618.48876953125,3.169304370880127
2016-02-01 06:15:00+10:00,1615.3232421875,-47.472652435302734
2016-02-01 06:30:00+10:00,1666.0989990234375,-81.90624237060547
2016-02-01 06:45:00+10:00,1576.6876220703125,-152.81283569335938
2016-02-01 07:00:00+10:00,1504.0313720703125,-256.1769104003906
