time,power (W),energy (Wh),power (kW),energy (kWh)
5/24/2016 16:23,11805,1137821,11.805,5689.105
5/24/2016 16:24,11145,1138009,11.145,5690.045
5/24/2016 16:25,10590,1138192,10.59,5690.96
5/24/2016 16:26,10080,1138365,10.08,5691.825
5/24/2016 16:27,9520,1138528,9.52,5692.64
5/24/2016 16:28,8955,1138684,8.955,5693.42
5/24/2016 16:29,8705,1138832,8.705,5694.16
5/24/2016 16:30,8445,1138974,8.445,5694.87
5/24/2016 16:31,8135,1139112,8.135,5695.56
5/24/2016 16:32,7680,1139245,7.68,5696.225
5/24/2016 16:33,7370,1139370,7.37,5696.85
5/24/2016 16:34,6960,1139488,6.96,5697.44
5/24/2016 16:35,6605,1139601,6.605,5698.005
5/24/2016 16:36,6295,1139709,6.295,5698.545
5/24/2016 16:37,5835,1139808,5.835,5699.04
5/24/2016 16:38,5630,1139905,5.63,5699.525
5/24/2016 16:39,5125,1139994,5.125,5699.97
5/24/2016 16:40,4815,1140076,4.815,5700.38
5/24/2016 16:41,4605,1140155,4.605,5700.775
5/24/2016 16:42,4305,1140228,4.305,5701.14
5/24/2016 16:43,3800,1140298,3.8,5701.49
5/24/2016 16:44,3740,1140361,3.74,5701.805
5/24/2016 16:45,3530,1140420,3.53,5702.1
5/24/2016 16:46,3130,1140477,3.13,5702.385
5/24/2016 16:47,3025,1140527,3.025,5702.635
5/24/2016 16:48,2625,1140575,2.625,5702.875
5/24/2016 16:49,2470,1140618,2.47,5703.09
5/24/2016 16:50,2210,1140658,2.21,5703.29
5/24/2016 16:51,1955,1140694,1.955,5703.47
5/24/2016 16:52,2005,1140726,2.005,5703.63
5/24/2016 16:53,1595,1140756,1.595,5703.78
5/24/2016 16:54,1450,1140782,1.45,5703.91
5/24/2016 16:55,1445,1140806,1.445,5704.03
5/24/2016 16:56,1295,1140827,1.295,5704.135
5/24/2016 16:57,1090,1140845,1.09,5704.225
5/24/2016 16:58,890,1140860,0.89,5704.3
5/24/2016 16:59,685,1140874,0.685,5704.37
5/24/2016 17:00,585,1140886,0.585,5704.43
5/24/2016 17:01,385,1140897,0.385,5704.485
5/24/2016 17:02,575,1140907,0.575,5704.535
5/24/2016 17:03,275,1140915,0.275,5704.575
5/24/2016 17:04,275,1140924,0.275,5704.62
5/24/2016 17:05,75,1140932,0.075,5704.66
5/24/2016 17:06,25,1140939,0.025,5704.695
5/24/2016 17:07,0,1140946,0,5704.73
5/24/2016 17:08,0,1140952,0,5704.76
5/24/2016 17:09,0,1140958,0,5704.79
5/24/2016 17:10,0,1140964,0,5704.82
5/24/2016 17:11,0,1140970,0,5704.85
5/24/2016 17:12,0,1140975,0,5704.875
5/24/2016 17:13,0,1140980,0,5704.9
5/24/2016 17:14,0,1140985,0,5704.925
5/24/2016 17:15,0,1140989,0,5704.945
5/24/2016 17:16,0,1140994,0,5704.97
5/24/2016 17:17,0,1140999,0,5704.995
5/24/2016 17:18,0,1141003,0,5705.015
5/24/2016 17:19,0,1141007,0,5705.035
5/24/2016 17:20,0,1141012,0,5705.06
5/24/2016 17:21,0,1141015,0,5705.075
5/24/2016 17:22,0,1141016,0,5705.08
5/24/2016 17:23,0,1141016,0,5705.08
5/24/2016 17:24,0,1141016,0,5705.08
5/24/2016 17:25,0,1141016,0,5705.08
5/24/2016 17:26,0,1141016,0,5705.08
5/24/2016 17:27,0,1141016,0,5705.08
5/24/2016 17:28,0,1141016,0,5705.08
5/24/2016 17:29,0,1141016,0,5705.08
5/24/2016 17:30,0,1141016,0,5705.08
5/24/2016 17:31,0,1141016,0,5705.08
5/24/2016 17:32,0,1141016,0,5705.08
5/24/2016 17:33,0,1141016,0,5705.08
5/24/2016 17:34,0,1141016,0,5705.08
5/24/2016 17:35,0,1141016,0,5705.08
5/24/2016 17:36,0,1141016,0,5705.08
5/24/2016 17:37,0,1141016,0,5705.08
5/24/2016 17:38,0,1141016,0,5705.08
5/24/2016 17:39,0,1141016,0,5705.08
5/24/2016 17:40,0,1141016,0,5705.08
5/24/2016 17:41,0,1141016,0,5705.08
5/24/2016 17:42,0,1141016,0,5705.08
5/24/2016 17:43,0,1141016,0,5705.08
5/24/2016 17:44,0,1141016,0,5705.08
5/24/2016 17:45,0,1141016,0,5705.08
5/24/2016 17:46,0,1141016,0,5705.08
5/24/2016 17:47,0,1141016,0,5705.08
5/24/2016 17:48,0,1141016,0,5705.08
5/24/2016 17:49,0,1141016,0,5705.08
5/24/2016 17:50,0,1141016,0,5705.08
5/24/2016 17:51,0,1141016,0,5705.08
5/24/2016 17:52,0,1141016,0,5705.08
5/24/2016 17:53,0,1141016,0,5705.08
5/24/2016 17:54,0,1141016,0,5705.08
5/24/2016 17:55,0,1141016,0,5705.08
5/24/2016 17:56,0,1141016,0,5705.08
5/24/2016 17:57,0,1141016,0,5705.08
5/24/2016 17:58,0,1141016,0,5705.08
5/24/2016 17:59,0,1141016,0,5705.08
5/24/2016 18:00,0,1141016,0,5705.08
5/24/2016 18:01,0,1141016,0,5705.08
5/24/2016 18:02,0,1141016,0,5705.08
5/24/2016 18:03,0,1141016,0,5705.08
5/24/2016 18:04,0,1141016,0,5705.08
5/24/2016 18:05,0,1141016,0,5705.08
5/24/2016 18:06,0,1141016,0,5705.08
5/24/2016 18:07,0,1141016,0,5705.08
5/24/2016 18:08,0,1141016,0,5705.08
5/24/2016 18:09,0,1141016,0,5705.08
5/24/2016 18:10,0,1141016,0,5705.08
5/24/2016 18:11,0,1141016,0,5705.08
5/24/2016 18:12,0,1141016,0,5705.08
5/24/2016 18:13,0,1141016,0,5705.08
5/24/2016 18:14,0,1141016,0,5705.08
5/24/2016 18:15,0,1141016,0,5705.08
5/24/2016 18:16,0,1141016,0,5705.08
5/24/2016 18:17,0,1141016,0,5705.08
5/24/2016 18:18,0,1141016,0,5705.08
5/24/2016 18:19,0,1141016,0,5705.08
5/24/2016 18:20,0,1141016,0,5705.08
5/24/2016 18:21,0,1141016,0,5705.08
5/24/2016 18:22,0,1141016,0,5705.08
5/24/2016 18:23,0,1141016,0,5705.08
5/24/2016 18:24,0,1141016,0,5705.08
5/24/2016 18:25,0,1141016,0,5705.08
5/24/2016 18:26,0,1141016,0,5705.08
5/24/2016 18:27,0,1141016,0,5705.08
5/24/2016 18:28,0,1141016,0,5705.08
5/24/2016 18:29,0,1141016,0,5705.08
5/24/2016 18:30,0,1141016,0,5705.08
5/24/2016 18:31,0,1141016,0,5705.08
5/24/2016 18:32,0,1141016,0,5705.08
5/24/2016 18:33,0,1141016,0,5705.08
5/24/2016 18:34,0,1141016,0,5705.08
5/24/2016 18:35,0,1141016,0,5705.08
5/24/2016 18:36,0,1141016,0,5705.08
5/24/2016 18:37,0,1141016,0,5705.08
5/24/2016 18:38,0,1141016,0,5705.08
5/24/2016 18:39,0,1141016,0,5705.08
5/24/2016 18:40,0,1141016,0,5705.08
5/24/2016 18:41,0,1141016,0,5705.08
5/24/2016 18:42,0,1141016,0,5705.08
5/24/2016 18:43,0,1141016,0,5705.08
5/24/2016 18:44,0,1141016,0,5705.08
5/24/2016 18:45,0,1141016,0,5705.08
5/24/2016 18:46,0,1141016,0,5705.08
5/24/2016 18:47,0,1141016,0,5705.08
5/24/2016 18:48,0,1141016,0,5705.08
5/24/2016 18:49,0,1141016,0,5705.08
5/24/2016 18:50,0,1141016,0,5705.08
5/24/2016 18:51,0,1141016,0,5705.08
5/24/2016 18:52,0,1141016,0,5705.08
5/24/2016 18:53,0,1141016,0,5705.08
5/24/2016 18:54,0,1141016,0,5705.08
5/24/2016 18:55,0,1141016,0,5705.08
5/24/2016 18:56,0,1141016,0,5705.08
5/24/2016 18:57,0,1141016,0,5705.08
5/24/2016 18:58,0,1141016,0,5705.08
5/24/2016 18:59,0,1141016,0,5705.08
5/24/2016 19:00,0,1141016,0,5705.08
